GeneID	GSM1942104	GSM1942105	GSM1942106	GSM1942107	GSM1942108	GSM1942109
79258	27	34	12	20	23	25
105378597	0	0	0	0	0	0
100287898	2	4	1	2	5	2
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	3	3	1	2	3
63976	28	22	12	12	32	24
100422968	0	0	0	0	0	0
105378606	2	0	0	0	3	2
107984909	0	2	0	0	1	3
105378605	0	1	0	0	5	2
105378604	2	5	3	2	7	5
27237	360	643	234	321	361	364
1953	233	441	179	229	135	132
105378608	1	0	1	0	2	0
693135	0	0	0	0	0	0
105378607	0	0	1	0	0	0
127262	376	541	210	387	406	327
49856	185	279	120	176	175	186
7161	31	50	25	78	100	97
105378610	1	4	0	2	1	5
105378609	1	0	0	0	0	0
57212	3	3	2	2	4	3
148870	0	0	0	1	5	5
388588	9	8	7	14	13	12
57470	477	823	332	472	556	494
9731	356	524	222	343	349	354
1677	57	86	43	46	60	52
107984910	7	16	8	6	6	6
339448	187	315	134	181	155	148
100133612	3	1	2	2	3	3
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	5	8	4	4	8	6
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	1	0	0	0
261734	87	162	60	114	138	113
8514	44	55	36	35	54	58
26038	24	59	11	45	122	110
105376687	1	1	0	0	0	0
6146	2703	4021	1791	3109	2525	2450
107985733	4	6	0	1	2	2
102724450	5	8	2	1	0	2
388591	47	116	51	16	23	21
23463	1053	1539	720	1337	1242	1122
148645	0	5	0	9	14	7
390992	0	0	0	0	0	0
387509	84	126	61	147	120	95
11332	77	142	57	226	349	319
54626	31	52	26	15	26	34
83715	295	456	219	185	147	158
100422975	1	3	0	0	0	0
8718	84	146	69	17	21	20
57449	265	430	212	139	114	81
79707	383	607	276	356	561	572
80835	1	1	1	0	1	1
107984912	0	0	0	0	0	0
3104	145	202	95	93	110	110
9903	258	422	180	321	305	276
107984913	14	29	9	8	13	7
148479	333	463	236	385	381	325
90326	136	247	113	131	169	173
55735	279	483	209	268	434	426
100505887	0	0	0	0	0	0
110841581	8	13	7	2	8	5
23261	212	366	161	305	331	295
105376692	0	0	0	0	0	1
102725193	1	4	1	0	1	0
101928836	0	4	3	6	7	6
105376691	0	0	0	0	0	0
105376689	9	27	14	13	14	10
9341	702	960	403	781	722	689
8863	240	329	172	278	165	148
10911	0	1	0	0	1	0
3604	0	0	0	0	0	1
11315	1276	2153	876	1323	1619	1479
54206	397	558	249	511	548	590
107984915	0	0	0	0	0	0
102724539	0	0	1	0	0	0
105376695	0	0	0	0	0	0
50651	0	2	4	2	2	4
473	408	534	324	500	690	650
102724552	7	4	2	1	1	1
106632271	0	0	0	0	0	1
2023	6895	10776	4517	12803	15522	14320
102465436	2	1	0	0	0	2
100505975	7	6	3	10	6	8
112268261	0	0	0	0	0	0
765	0	0	0	0	0	0
155184	0	1	0	0	0	0
6518	2	2	0	0	1	1
80045	172	294	119	179	227	195
106614088	149	206	122	45	56	51
407040	0	2	2	0	0	1
102724571	25	23	19	16	14	15
9563	324	556	251	590	627	618
80176	255	401	187	290	223	231
100506022	6	3	1	5	2	5
84275	132	210	91	113	134	111
199953	79	152	78	96	166	134
107985734	2	3	4	2	5	7
105376712	0	0	0	0	0	0
5293	44	62	26	35	55	60
644997	0	0	0	0	1	0
101929074	3	1	0	1	6	3
22883	1346	2046	964	1226	1480	1374
56998	213	353	144	351	313	322
105376717	4	12	4	12	13	14
84328	374	481	261	435	409	412
64802	199	328	139	245	217	199
113391335	3	4	3	1	2	2
100847055	0	1	0	0	0	0
116362	13	20	8	21	17	37
10277	439	685	321	811	1014	948
23095	606	938	450	836	1324	1236
105376725	0	2	3	0	3	2
5226	1004	1634	689	2114	2590	2566
100526739	21	35	18	38	42	41
378708	30	49	21	51	57	49
1325	4	3	2	2	5	1
1676	489	682	310	520	672	612
5195	127	195	91	130	178	158
54897	341	614	296	466	479	479
105376733	0	0	0	0	0	0
105376735	0	0	0	0	0	0
148345	0	0	0	0	0	0
23435	717	1061	460	878	936	908
10747	17	33	12	11	10	9
6723	113	188	75	155	373	384
5394	439	724	329	421	578	583
105376736	12	23	9	18	20	19
2475	1019	1659	721	1048	1538	1447
100873935	9	24	7	9	17	13
10218	6	2	2	8	12	4
29914	184	273	132	180	232	224
105376737	0	0	0	0	0	0
105376739	0	0	0	0	0	0
105376740	0	0	0	0	0	0
57540	18	25	13	15	17	13
112268221	1	2	1	3	2	3
101929181	0	0	0	0	0	0
26232	50	82	26	39	44	33
93611	140	212	106	85	67	85
26270	47	99	41	41	61	69
10459	90	136	50	187	215	220
374946	3	3	2	8	3	4
57085	158	231	97	156	207	167
284498	24	34	16	41	31	33
102724659	0	0	0	0	0	0
4524	187	271	131	236	214	189
1185	151	237	117	100	113	71
100379251	14	32	13	8	7	6
4878	1	2	2	2	1	0
4879	1	0	0	0	0	0
26829	40	30	15	30	13	30
90231	482	700	303	430	382	363
5351	251	395	195	245	378	401
9927	515	792	341	660	814	788
60672	92	149	64	75	90	97
102466982	1	2	0	0	1	1
943	0	1	1	0	0	0
102465836	0	0	0	0	0	0
7133	0	0	1	1	0	1
100616438	0	0	0	0	0	0
107984917	0	0	0	0	0	0
55187	1365	2189	1085	1253	1459	1396
677885	47	49	25	39	25	19
105376744	0	1	0	0	0	0
9249	20	23	13	18	5	5
102466722	0	0	0	0	0	0
343066	0	0	0	0	0	0
126767	0	0	0	0	0	0
93190	0	0	0	0	0	0
390999	0	1	0	0	0	0
65121	0	0	1	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	0	0	2	1	2	2
65122	0	0	0	0	0	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	0	0	0	0	0	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	0	0	0	0	0	0
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0	0	0	0	0	0
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	0	0	0	0	0	0
102724856	0	0	0	0	0	0
107984918	0	0	0	0	0	0
10630	0	0	0	0	0	0
107984919	0	0	0	0	0	1
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	287	382	243	466	600	593
23254	73	95	68	79	93	108
107985467	2	6	5	6	4	9
107985468	0	2	1	2	0	2
105376762	1	2	1	0	2	1
105376759	0	0	1	1	0	0
107985469	1	0	0	0	0	1
200197	14	22	10	12	14	9
55092	98	156	71	83	89	93
727684	4	13	5	4	5	5
114827	2	2	1	3	2	1
101927417	0	0	0	1	0	2
101927441	5	5	4	1	2	4
79180	219	274	132	230	244	258
11330	0	1	0	0	0	0
63036	0	0	0	0	0	0
105376767	0	0	0	1	0	0
51032	1	0	1	0	0	2
842	59	66	44	36	53	51
23341	450	740	353	314	317	299
107397391	3	0	0	3	2	0
79814	22	20	13	42	88	88
84301	685	946	485	869	810	769
6248	111	174	90	148	145	135
23207	331	547	201	373	499	432
284723	4	7	3	1	2	1
110806303	0	0	0	0	0	0
388595	0	0	0	0	0	0
54751	55	69	26	45	86	69
440567	69	73	34	43	76	64
729614	100	138	63	115	113	92
23013	616	770	467	802	1322	1330
7709	223	361	132	229	205	174
149563	0	0	0	1	0	1
27129	0	0	0	0	1	0
1187	0	0	0	0	0	0
1188	0	1	0	1	0	0
348487	9	12	5	10	8	3
1969	533	869	382	370	421	425
101927479	13	25	10	13	15	18
128272	217	348	155	189	149	148
101927546	8	18	6	14	4	14
79363	40	61	20	51	50	57
54455	231	358	177	326	332	262
26099	509	747	329	731	775	767
374955	229	379	153	337	373	385
55707	347	507	229	373	314	343
107984921	19	32	13	5	6	10
114819	34	51	31	21	27	18
26871	10420	12062	5442	8740	3787	4214
107985757	0	0	0	0	0	0
100132147	0	0	0	0	1	0
107985758	0	0	0	0	0	0
7195	4	4	2	12	6	6
55672	910	1485	632	751	506	482
105376794	105	166	85	74	67	66
84809	62	117	46	49	38	39
11209	30	47	19	11	6	6
107985736	1	2	2	1	3	4
26869	10320	12029	5398	8596	3744	4196
107985759	2	4	1	13	8	3
284729	4	3	0	0	0	0
100189045	4	7	1	10	2	3
6060	11867	13862	6281	10944	4608	5503
11223	12	15	7	5	3	2
100500876	0	0	0	0	0	0
100189298	1	3	2	5	1	5
112267871	0	0	0	0	1	0
7193	0	0	0	0	0	0
100189183	0	0	0	0	0	0
105376805	0	0	0	1	0	2
791226	0	0	0	0	0	0
26870	11661	13724	6141	10739	4511	5388
9696	115	218	103	114	116	96
4237	6	19	2	25	15	9
105376806	4	1	0	3	3	3
23400	288	520	215	293	472	416
6390	451	651	297	393	516	497
11240	14	35	5	15	35	33
105376808	0	0	0	0	0	0
400743	0	0	0	0	0	0
29943	3	4	7	1	1	3
51702	11	16	9	10	10	8
100616188	0	0	0	0	0	0
23569	5	1	2	1	0	1
353238	0	0	1	0	0	0
55920	1385	2284	1033	2265	3162	2860
55160	471	748	329	357	244	250
107984028	0	0	0	0	0	0
81569	2	5	1	1	6	6
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	0	0
84966	0	1	0	0	0	0
105376814	0	0	0	0	0	0
127707	20	26	7	12	18	14
5081	0	1	0	0	1	0
80834	0	0	0	0	0	0
8659	202	331	151	265	310	319
100616120	0	0	0	0	0	0
100302276	1	0	0	0	0	0
126917	186	308	107	85	111	86
105376815	0	2	0	0	0	0
23352	1794	2904	1457	2052	3399	3156
101927895	25	41	19	17	22	27
23065	709	1129	519	452	755	635
51154	396	591	247	393	570	525
246181	7	6	4	4	2	3
22977	6	8	8	7	9	6
100506730	24	41	22	49	31	20
8574	377	576	246	551	634	578
54896	216	325	148	171	148	123
832	529	765	360	737	1046	944
105376819	0	0	0	1	0	0
105376818	0	0	0	0	0	0
105376817	0	0	0	0	0	0
105378614	0	0	0	0	0	0
440574	210	298	123	240	244	269
100532736	41	59	25	107	113	108
644068	6	13	4	5	10	14
4681	22	31	16	76	87	77
3362	1	2	6	0	1	4
255104	96	139	61	114	128	110
54546	0	0	0	0	0	0
105376823	1	0	1	1	0	1
23252	182	284	132	169	167	157
30814	0	0	0	0	0	0
5320	0	0	0	0	0	1
5322	0	0	0	0	0	0
26279	0	0	0	0	0	0
64600	1	1	0	0	0	1
391013	0	0	0	0	0	0
127733	0	0	0	0	0	0
101928017	0	0	0	0	0	0
105376825	0	0	0	0	0	0
105376826	0	3	1	0	1	0
105376827	0	0	0	0	0	0
105376828	0	0	0	0	0	0
127731	2	0	3	1	1	0
339505	0	0	0	0	0	0
55450	206	268	139	268	127	97
79594	293	456	192	266	240	184
163933	0	0	0	0	0	0
978	0	0	0	0	0	1
65018	309	450	195	349	242	254
102464833	3	4	2	6	2	3
100861548	362	547	227	347	304	301
1650	2254	3521	1515	1795	2433	2257
57576	1	2	2	3	4	5
400745	10	25	8	14	21	23
112268222	190	301	155	332	235	239
50809	1221	1903	880	1689	1484	1368
8672	692	912	447	719	979	889
105376830	6	6	4	7	8	5
105376829	2	3	3	2	5	3
100302155	0	1	1	0	0	0
1889	1642	2775	1296	1408	1377	1312
100506801	8	12	10	6	9	14
105376832	0	0	0	0	0	0
84224	241	350	167	177	192	186
249	2	0	1	0	0	0
105376834	0	0	0	0	0	0
5909	40	74	37	45	77	50
84196	700	1103	483	677	619	590
401944	4	11	3	6	8	10
3339	88	137	69	74	151	154
23436	0	0	0	0	0	0
10136	0	0	0	0	0	0
101928043	2	2	2	1	2	1
29092	43	50	33	43	66	50
112268223	2	5	2	4	5	7
998	1574	2342	1086	2006	2205	2134
54361	21	35	34	19	24	36
105376845	4	14	6	2	7	5
105376850	4	4	4	2	5	1
107985377	0	1	0	1	0	0
100616433	0	0	0	0	0	0
105376856	0	0	0	0	0	0
9923	602	1002	439	520	639	563
2046	5	2	2	0	0	0
102466615	0	0	0	0	0	0
712	0	1	0	0	0	0
714	0	0	0	0	0	0
713	0	0	0	0	0	0
2048	53	112	37	27	63	45
100616391	0	0	0	0	0	0
100422914	2	3	0	1	2	1
646262	0	0	0	0	0	0
729059	0	0	0	0	0	0
23028	712	1155	508	1057	1458	1327
100422866	1	0	0	0	1	1
7798	265	378	164	290	343	350
3352	1	3	1	2	0	4
100996511	39	79	35	29	42	37
10236	1147	1702	786	1520	1791	1656
80818	195	316	130	274	291	283
148898	15	34	14	8	10	10
6920	48	54	21	40	20	17
55616	114	198	74	123	116	121
1870	40	72	32	224	263	252
101928163	1	2	2	9	14	12
105376859	5	5	1	1	10	9
3399	412	631	276	435	655	556
107984928	2	1	0	1	0	1
259283	0	0	0	0	0	0
6135	4536	6475	2765	5321	6047	5783
6924	611	925	388	695	844	829
100506963	61	96	39	54	76	65
57095	300	425	189	346	369	292
105376860	13	25	11	13	18	17
11313	215	321	129	250	268	250
2582	120	183	80	110	194	176
3155	130	230	92	228	231	226
105376861	0	0	0	1	1	0
2517	264	438	178	281	280	275
1269	0	1	0	0	0	0
107984929	0	0	0	0	0	0
100616492	0	0	0	0	0	0
55629	769	1127	487	938	670	643
10772	1218	1889	772	1332	1138	1118
105378615	0	0	0	0	0	0
105376863	4	3	1	3	2	2
107984931	0	1	0	2	0	0
127294	0	2	0	1	2	0
107985737	0	0	0	0	1	0
105376864	0	1	0	0	0	0
58985	2	0	1	0	2	2
163702	4	11	4	10	5	10
284632	0	0	0	0	0	0
105376871	2	2	1	0	1	0
57822	35	78	35	19	38	36
90529	20	41	16	26	24	27
57185	358	505	234	384	258	262
100750325	0	1	1	0	0	0
11123	100	131	58	174	181	152
100506985	4	4	3	9	7	6
400746	0	0	0	5	0	2
10250	521	687	357	457	749	715
25932	1818	2560	1141	2619	2200	2088
105376876	1	0	0	0	0	0
864	0	0	0	0	0	0
102465437	0	0	0	0	0	0
107984932	0	0	0	0	0	0
105376878	0	0	0	0	0	0
100616365	0	0	0	0	0	0
105376879	0	0	0	0	0	0
25949	323	484	203	348	243	183
57035	573	939	418	222	253	213
105376882	0	0	0	0	0	0
6007	5	10	5	4	4	5
23585	452	676	290	499	402	371
6006	227	351	155	229	195	169
55219	465	681	295	509	376	334
26119	144	235	110	147	240	172
57134	50	75	25	63	40	46
57190	170	271	133	264	362	334
56181	253	371	155	242	194	179
646471	50	89	45	30	29	33
79000	160	192	107	128	206	164
164091	147	204	115	135	108	81
3925	447	691	283	1690	1779	1613
100500808	1	2	0	5	5	4
105376885	0	1	0	0	0	0
5051	142	235	104	165	179	167
101928216	1	4	1	0	1	1
2134	4	3	2	4	1	3
7780	1	0	0	0	0	0
105376910	0	0	0	0	0	0
84676	0	0	0	0	0	0
149420	230	337	133	265	235	209
105376886	0	0	1	1	0	3
79927	0	2	0	2	1	0
110806296	0	0	0	0	0	0
51042	120	227	77	121	135	139
10256	96	161	65	55	79	62
378807	0	1	0	1	0	0
101928303	0	1	0	0	0	0
64793	305	402	171	268	344	341
83442	165	258	149	195	364	348
91544	13	50	18	22	25	29
1043	0	0	0	0	0	0
55057	5	13	4	6	8	8
257101	0	0	0	0	0	0
79727	2	4	1	2	7	0
79947	160	245	114	175	210	185
101928324	2	6	5	6	4	2
3151	1982	2977	1332	3635	3972	3744
6195	264	426	184	326	353	319
100302190	0	0	0	1	2	0
105376888	1	1	2	1	3	0
101928728	13	14	2	6	11	14
8289	338	419	279	673	1133	1099
55650	151	240	110	199	215	190
84243	140	240	90	221	242	259
2810	326	502	225	542	718	687
54707	407	584	269	321	307	298
63906	93	147	78	101	83	71
10726	454	740	315	517	706	682
8431	1	1	1	1	1	0
126695	132	205	103	131	159	137
388610	18	23	7	6	33	26
115572	128	199	84	121	121	102
101928391	0	0	0	0	0	0
6548	166	226	182	184	317	263
102723760	0	0	0	0	0	0
105376890	0	0	0	0	1	0
23038	261	376	179	384	427	390
84065	207	283	141	263	186	194
644961	44	68	34	23	34	35
84958	228	394	189	278	223	200
9064	83	138	73	102	196	179
8547	0	1	0	0	0	0
388611	0	0	0	1	1	0
2827	1	4	1	2	2	1
10163	474	672	343	870	1249	1157
105376892	0	0	0	0	0	1
27245	134	218	134	228	219	196
2268	0	0	0	0	0	0
111216282	0	0	0	0	1	0
2537	131	205	81	220	589	540
199870	72	123	82	98	98	80
23673	284	344	189	420	361	344
5511	350	523	221	365	361	391
677774	102	110	54	81	32	35
9473	11	11	10	9	9	6
6118	339	514	185	429	473	452
27293	57	88	40	50	102	83
55113	48	70	33	35	44	43
2140	203	268	142	265	346	307
5724	29	36	19	18	29	21
22826	570	781	345	612	702	712
93974	420	640	264	521	509	546
83667	212	354	158	249	338	336
54797	315	482	163	207	194	179
65979	109	159	82	169	267	265
1104	745	1152	488	849	1238	1072
8420	562	766	399	256	300	360
6080	34148	37271	18462	24616	12642	13417
26768	23944	25151	12742	18976	8759	9729
54952	99	125	83	105	132	116
85028	272	393	180	303	163	172
692212	4	8	2	3	6	6
677838	161	202	103	212	71	91
677825	21	29	15	25	9	14
692073	70	98	34	99	22	27
115273	3	5	4	3	1	3
6883	260	308	179	285	270	277
105378616	128	143	88	143	81	88
26824	113	121	75	127	57	66
10691	114	200	108	175	188	180
51441	951	1491	607	956	993	944
4985	3	0	1	2	13	8
2035	223	336	169	308	410	394
399474	9	15	9	16	19	14
6429	525	813	342	509	510	440
51102	47	65	37	78	109	95
10076	838	1377	615	632	745	624
101928460	0	1	2	0	0	0
107984933	0	0	0	0	0	0
107984934	0	0	0	0	0	0
101929406	0	0	0	1	0	0
105378617	0	0	0	0	0	0
105378618	0	0	0	0	0	0
4146	3	8	3	3	4	2
100129196	15	18	16	21	13	15
7805	8	14	1	7	3	3
100616164	0	0	1	0	0	0
105378620	0	1	0	0	0	0
105378621	1	0	0	0	0	0
105378622	2	0	0	3	2	0
400748	0	0	0	1	0	0
9672	106	168	75	133	158	140
9698	843	1334	637	1167	1232	1190
692234	3	2	1	1	5	3
692235	3	2	1	1	5	1
692200	1	1	0	0	1	1
107984935	0	0	0	1	2	1
79570	62	124	58	40	57	43
9410	286	408	181	287	401	386
51538	170	265	109	201	249	220
2170	2	8	5	4	10	5
105378623	0	0	0	0	0	0
107985470	1	1	0	0	0	0
347735	76	110	42	44	88	88
105378625	1	0	0	5	1	1
105379772	3	3	0	3	0	0
149086	0	1	0	0	0	0
284551	0	0	0	0	0	0
105378626	0	1	0	0	2	0
64129	7	7	2	2	0	0
3061	9	10	5	9	12	14
553115	320	420	183	367	388	378
107985471	0	1	2	2	2	5
105378628	0	0	0	1	0	0
1307	27	67	22	27	9	8
101929444	5	13	3	4	3	5
576	16	42	16	14	19	15
100423028	0	0	0	0	0	0
90853	4	9	7	12	17	6
8073	1236	1679	758	1650	1440	1316
10657	923	1492	638	1936	2113	1987
55116	87	151	48	104	111	105
100847018	0	0	0	0	0	0
23633	1083	1832	811	1500	1883	1783
200081	685	1245	560	1097	1084	1024
79140	9	10	7	1	12	11
56063	83	131	82	53	60	60
55721	55	90	46	67	68	59
149069	14	19	17	11	3	13
8668	1309	1932	882	1275	1831	1665
339483	27	37	16	11	17	12
84734	3	4	1	5	5	2
3932	3	4	1	0	0	0
3065	870	1486	647	1026	1175	1138
65108	545	1014	438	817	804	753
105378629	6	6	0	0	8	1
81629	20	30	14	17	13	11
100128071	2	6	3	2	4	5
55108	600	912	407	585	558	497
728116	1	2	1	2	0	2
653121	142	202	97	227	227	181
102723870	1	4	1	1	0	2
339487	181	261	133	149	145	164
5928	1174	1758	723	1450	1299	1258
81493	255	389	177	316	332	289
57648	584	845	477	854	1148	1136
8565	614	1013	407	852	1376	1351
64766	300	484	196	307	312	319
252995	7	9	3	6	8	6
105378631	1	0	0	0	1	1
3208	23	42	19	30	20	28
113452	226	373	161	359	304	284
105378632	0	0	0	0	1	0
127544	132	192	81	167	163	145
204	671	1097	504	703	818	760
105378635	1	1	0	0	0	0
113451	11	15	12	5	4	11
112268224	6	4	2	5	7	4
55223	82	131	63	103	106	116
149076	157	205	109	234	256	255
127550	0	0	0	0	0	0
1912	198	325	137	292	311	300
100500853	6	10	6	9	11	8
101929464	0	2	3	1	3	2
7579	127	174	76	114	134	73
114784	0	0	0	0	0	0
105378638	0	0	0	0	0	0
127540	0	0	0	0	0	0
402779	0	1	0	0	0	0
84970	0	0	0	0	0	0
105378639	0	0	0	0	0	0
105378640	0	0	0	0	0	0
105378641	0	0	0	0	0	0
693137	0	0	0	0	0	0
105378642	5	6	5	2	1	0
2709	12	10	6	5	5	4
127534	5	8	4	4	3	3
2707	58	95	37	135	114	122
2701	4	6	7	1	2	2
113444	254	400	197	307	283	259
58512	13	9	2	12	8	8
653160	8	13	11	4	4	2
100506144	88	138	77	82	78	75
9204	211	323	145	163	133	143
79830	259	329	166	269	337	287
105378644	0	0	0	0	0	0
6421	2643	4041	1841	2277	3083	2818
9202	656	944	480	828	787	732
100861513	22	35	17	33	27	21
79932	583	922	394	688	667	650
23154	253	423	205	273	323	306
339488	1	11	3	4	6	8
105378645	1	1	0	1	0	2
5690	454	732	293	672	928	793
105378646	0	0	0	0	0	0
127703	158	218	95	158	188	161
63967	87	133	66	309	377	344
192670	246	326	154	333	209	182
26523	359	583	253	536	786	705
192669	418	568	292	384	467	450
105378647	2	1	2	1	0	0
27285	0	0	0	0	1	0
54936	167	253	126	196	201	185
1296	1	5	0	1	3	0
27095	426	589	278	447	466	420
55700	175	278	124	210	263	234
9967	1517	2360	1067	1787	2320	2195
79729	84	113	66	78	84	78
55194	49	62	23	46	49	52
83931	171	322	146	323	361	332
84967	87	161	61	100	110	123
127700	34	44	22	29	35	27
109616970	7	9	6	13	1	2
107984940	0	0	0	0	0	0
64960	237	403	172	304	429	339
1441	4	2	2	0	0	1
107984941	0	0	0	0	0	0
105378648	0	1	0	0	0	0
2899	98	144	62	106	117	89
100422898	0	0	0	0	0	0
107984942	0	0	0	0	1	0
728431	58	75	28	62	45	31
80149	142	267	131	131	148	139
102465438	0	3	1	0	0	1
64769	415	584	286	547	448	415
100847010	3	5	0	1	1	5
105378649	11	17	9	12	14	7
79753	309	475	197	328	278	271
7802	12	34	13	9	14	10
29889	415	684	286	392	418	386
284654	0	1	0	0	3	0
54955	146	227	84	127	167	143
55143	77	115	54	285	522	430
284656	54	101	41	56	53	39
105378650	0	0	0	1	0	0
149175	331	485	218	367	370	398
79693	162	267	111	198	183	175
127687	159	258	108	186	218	205
4520	181	278	155	202	276	273
3633	128	208	100	140	156	139
105378651	3	2	1	2	4	0
10946	552	846	356	614	828	793
2275	11	16	3	8	6	7
51118	275	412	177	246	307	285
5453	2	7	1	2	3	2
107985103	1	0	1	0	1	0
105378653	0	1	1	0	3	0
100500801	0	0	0	0	0	0
105378655	0	0	0	1	0	0
105378654	0	0	0	0	0	0
339442	0	0	0	0	0	0
105378657	0	0	0	0	0	0
107984943	0	0	0	0	0	0
105378656	0	0	0	0	0	0
105378658	0	0	0	0	0	0
105378660	0	0	0	0	0	0
64121	323	443	179	319	281	274
